parola,amore,aspettativa,attivazione,disgusto,dominanza,fiducia,gioia,neutrale,paura,rabbia,sorpresa,tristezza,valenza
sputare,0.02,0.0,6.17,0.96,4.67,0.0,0.04,0.0,0.04,0.79,0.04,0.21,1.5
sputo,0.0,0.0,6.17,0.92,4.17,0.0,0.0,0.0,0.17,0.67,0.21,0.46,2.83
squadra,0.5,0.83,5.83,0.17,4.83,0.42,0.58,0.0,0.38,0.25,0.38,0.29,5.67
squallido,0.0,0.04,5.5,0.83,4.67,0.0,0.0,0.0,0.42,0.42,0.04,0.79,3.0
squalo,0.0,0.04,7.0,0.17,2.83,0.0,0.0,0.0,0.71,0.08,0.54,0.04,3.83
squattrinato,0.14,0.04,5.0,0.25,5.5,0.08,0.21,0.0,0.5,0.42,0.04,0.83,4.67
squilibrare,0.04,0.17,6.17,0.29,4.67,0.04,0.04,0.0,0.42,0.54,0.33,0.29,4.33
squillante,0.35,0.04,3.17,0.21,5.0,0.0,0.71,0.0,0.0,0.21,0.54,0.0,5.5
squillare,0.02,0.25,5.83,0.0,4.33,0.0,0.04,0.0,0.08,0.04,0.42,0.0,5.0
stabile,0.45,0.29,4.33,0.0,5.5,0.58,0.33,0.0,0.17,0.0,0.12,0.08,5.67
stabilimento,0.09,0.0,4.0,0.12,5.33,0.17,0.0,0.0,0.0,0.0,0.12,0.12,4.67
stabilire,0.5,0.58,5.17,0.0,5.17,0.58,0.42,0.0,0.17,0.08,0.25,0.12,5.5
stabilità,0.75,0.71,2.17,0.0,7.0,0.75,0.75,0.0,0.0,0.0,0.04,0.04,7.67
staccare,0.16,0.21,3.5,0.0,5.33,0.04,0.29,0.0,0.25,0.0,0.25,0.29,5.0
staccato,0.12,0.25,4.5,0.25,4.67,0.21,0.04,0.0,0.46,0.21,0.04,0.58,4.5
stadio,0.35,0.54,5.17,0.25,4.5,0.21,0.5,0.0,0.33,0.58,0.29,0.29,4.17
stagione,0.56,0.58,5.5,0.04,5.33,0.38,0.75,0.0,0.21,0.08,0.25,0.33,6.0
stalla,0.11,0.29,5.83,0.29,4.83,0.04,0.17,0.0,0.08,0.0,0.17,0.17,5.0
stamattina,0.06,0.25,4.67,0.0,5.33,0.04,0.08,0.0,0.0,0.0,0.04,0.08,5.17
stampa,0.38,0.58,5.17,0.04,4.67,0.29,0.46,0.0,0.0,0.04,0.17,0.0,5.83
stampare,0.12,0.21,4.0,0.0,5.5,0.12,0.12,0.0,0.0,0.0,0.12,0.0,5.5
stampato,0.25,0.17,5.0,0.0,4.83,0.29,0.21,0.0,0.04,0.04,0.17,0.08,5.33
stancare,0.0,0.25,5.5,0.21,4.67,0.0,0.0,0.0,0.17,0.42,0.08,0.38,3.83
stanchezza,0.04,0.04,4.5,0.08,3.83,0.0,0.08,0.0,0.04,0.25,0.0,0.38,3.17
stanco,0.04,0.29,4.17,0.21,3.0,0.04,0.04,0.0,0.08,0.5,0.0,0.71,3.17
standard,0.11,0.29,5.17,0.0,4.5,0.17,0.04,0.0,0.04,0.0,0.04,0.12,5.17
stangata,0.0,0.12,4.33,0.5,5.0,0.0,0.0,0.0,0.67,0.42,0.71,0.42,3.33
stanotte,0.36,0.42,5.0,0.0,5.33,0.17,0.54,0.0,0.21,0.12,0.21,0.17,5.67
stanza,0.06,0.33,3.67,0.04,5.5,0.04,0.08,0.0,0.04,0.0,0.08,0.08,5.33
star,0.43,0.42,5.67,0.04,6.17,0.29,0.58,0.0,0.04,0.04,0.38,0.17,6.17
stare,0.38,0.54,4.33,0.08,5.5,0.33,0.42,0.0,0.08,0.08,0.25,0.25,5.67
stasera,0.27,0.58,5.17,0.0,5.5,0.25,0.29,0.0,0.0,0.0,0.25,0.04,6.0
statale,0.06,0.17,4.5,0.17,4.33,0.12,0.0,0.0,0.0,0.21,0.0,0.17,4.33
statistica,0.21,0.42,4.67,0.12,4.67,0.42,0.0,0.0,0.42,0.12,0.21,0.17,5.17
statistico,0.23,0.42,5.0,0.08,4.83,0.42,0.04,0.0,0.04,0.08,0.08,0.08,5.17
statua,0.1,0.0,2.33,0.0,5.67,0.12,0.08,0.0,0.0,0.0,0.04,0.0,5.17
statunitense,0.06,0.21,5.17,0.0,4.83,0.04,0.08,0.0,0.04,0.21,0.17,0.17,4.67
status,0.27,0.42,3.67,0.04,5.0,0.25,0.29,0.0,0.12,0.12,0.21,0.04,5.67
stavolta,0.25,0.67,5.17,0.12,5.33,0.33,0.17,0.0,0.17,0.12,0.42,0.08,6.0
stazione,0.21,0.71,6.0,0.04,5.17,0.08,0.33,0.0,0.17,0.25,0.17,0.25,7.17
stella,0.5,0.58,3.33,0.04,4.83,0.33,0.67,0.0,0.08,0.04,0.58,0.08,7.0
stellare,0.6,0.71,6.0,0.0,7.33,0.54,0.67,0.0,0.12,0.0,0.67,0.0,6.67
stendere,0.11,0.21,5.17,0.17,4.67,0.04,0.17,0.0,0.04,0.38,0.04,0.17,4.5
stereotipato,0.0,0.33,4.67,0.5,3.17,0.0,0.0,0.0,0.25,0.5,0.04,0.54,3.17
sterlina,0.19,0.29,3.83,0.04,5.5,0.17,0.21,0.0,0.17,0.0,0.12,0.04,5.5
sterminato,0.15,0.12,6.67,0.67,2.67,0.12,0.17,0.0,0.54,0.67,0.17,0.79,3.33
stesso,0.29,0.21,4.17,0.0,5.33,0.33,0.25,0.0,0.0,0.0,0.21,0.0,5.67
stigmate,0.04,0.12,5.67,0.38,3.67,0.08,0.0,0.0,0.46,0.29,0.04,0.42,2.83
stile,0.35,0.21,5.0,0.04,5.5,0.42,0.29,0.0,0.04,0.12,0.17,0.04,5.67
stima,0.71,0.58,5.67,0.0,5.83,0.75,0.67,0.0,0.0,0.04,0.04,0.04,6.67
stimabile,0.62,0.92,5.0,0.0,5.83,0.71,0.54,0.0,0.0,0.0,0.33,0.0,7.17
stimare,0.8,0.79,5.83,0.0,5.33,0.92,0.67,0.0,0.0,0.0,0.17,0.0,5.83
stimolare,0.52,0.83,5.33,0.0,6.17,0.42,0.62,0.0,0.04,0.04,0.54,0.04,6.67
stimolo,0.29,0.33,5.83,0.17,5.5,0.29,0.29,0.0,0.58,0.46,0.46,0.25,5.5
stipendio,0.67,0.79,5.17,0.0,5.33,0.58,0.75,0.0,0.08,0.0,0.58,0.12,7.5
stirare,0.0,0.08,3.67,0.04,4.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,3.83
stoffa,0.25,0.42,5.67,0.0,5.67,0.17,0.33,0.0,0.04,0.0,0.25,0.0,6.17
stoicismo,0.25,0.54,3.83,0.08,6.5,0.21,0.29,0.0,0.08,0.17,0.08,0.17,5.67
stomachevole,0.0,0.17,4.33,0.96,6.67,0.0,0.0,0.0,0.21,0.25,0.17,0.29,3.17
stomaco,0.15,0.29,4.83,0.08,4.67,0.12,0.17,0.0,0.17,0.04,0.17,0.04,5.17
stonatura,0.08,0.25,5.0,0.08,5.33,0.12,0.04,0.0,0.12,0.29,0.08,0.17,4.0
stordimento,0.02,0.17,5.17,0.08,3.83,0.04,0.0,0.0,0.29,0.17,0.29,0.17,4.33
storia,0.38,0.42,6.17,0.21,5.0,0.33,0.42,0.0,0.42,0.67,0.54,0.67,5.67
storico,0.23,0.17,5.17,0.04,5.17,0.25,0.21,0.0,0.12,0.04,0.0,0.33,5.17
storto,0.0,0.12,5.83,0.21,4.67,0.0,0.0,0.0,0.17,0.21,0.17,0.04,5.5
strabiliare,0.43,0.33,6.83,0.0,6.17,0.29,0.58,0.0,0.0,0.0,0.71,0.0,7.0
strabiliato,0.48,0.67,7.0,0.04,5.67,0.29,0.67,0.0,0.08,0.04,0.96,0.04,6.17
stracciare,0.02,0.04,4.67,0.29,3.83,0.0,0.04,0.0,0.08,0.83,0.21,0.58,4.17
stracciato,0.0,0.17,4.67,0.17,4.0,0.0,0.0,0.0,0.29,0.46,0.17,0.67,3.0
straccio,0.0,0.08,4.83,0.33,3.0,0.0,0.0,0.0,0.08,0.25,0.04,0.62,3.5
strada,0.65,0.67,5.0,0.0,5.17,0.58,0.71,0.0,0.67,0.21,0.67,0.42,5.67
stradale,0.02,0.12,5.33,0.0,5.0,0.0,0.04,0.0,0.17,0.04,0.08,0.0,4.83
strage,0.0,0.04,7.5,0.96,3.5,0.0,0.0,0.0,0.83,0.88,0.17,0.96,1.33
strambo,0.27,0.17,3.0,0.17,5.0,0.08,0.46,0.0,0.17,0.08,0.42,0.21,5.0
straniero,0.11,0.25,3.83,0.29,5.33,0.04,0.17,0.0,0.42,0.17,0.29,0.17,5.17
strano,0.08,0.08,5.17,0.21,5.17,0.08,0.08,0.0,0.17,0.08,0.21,0.08,5.0
straordinario,0.69,0.96,6.83,0.0,7.0,0.46,0.92,0.0,0.04,0.0,0.92,0.0,7.67
strapieno,0.06,0.17,5.5,0.29,5.83,0.04,0.08,0.0,0.08,0.29,0.17,0.0,4.5
strappare,0.21,0.25,7.0,0.12,4.0,0.25,0.17,0.0,0.42,0.42,0.17,0.54,4.0
strascico,0.02,0.12,3.83,0.42,4.33,0.04,0.0,0.0,0.54,0.58,0.0,0.75,3.5
stratega,0.29,0.75,6.0,0.12,3.33,0.46,0.12,0.0,0.58,0.25,0.17,0.25,4.33
strategia,0.16,0.42,6.67,0.08,5.17,0.29,0.04,0.0,0.17,0.17,0.17,0.12,5.33
strategico,0.52,0.96,6.0,0.17,6.0,0.62,0.42,0.0,0.29,0.33,0.62,0.25,5.83
stratificare,0.12,0.04,4.33,0.04,5.17,0.17,0.08,0.0,0.08,0.21,0.04,0.17,5.17
strato,0.0,0.0,4.33,0.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
stravincere,0.62,0.38,6.5,0.0,6.83,0.29,0.96,0.0,0.0,0.04,0.62,0.0,8.17
stravolgere,0.52,0.67,5.67,0.12,5.0,0.54,0.5,0.0,0.33,0.42,0.83,0.29,5.17
stravolto,0.11,0.42,5.0,0.08,4.83,0.04,0.17,0.0,0.29,0.29,0.58,0.42,4.83
strazio,0.09,0.0,3.33,0.04,2.83,0.17,0.0,0.0,0.83,0.75,0.0,0.96,1.17
strega,0.08,0.17,5.83,0.29,1.83,0.04,0.12,0.0,0.71,0.29,0.29,0.25,3.5
stregare,0.15,0.17,5.5,0.17,4.0,0.12,0.17,0.0,0.54,0.29,0.04,0.29,3.0
stregone,0.23,0.42,5.33,0.0,6.0,0.17,0.29,0.0,0.54,0.21,0.29,0.17,5.83
strenua,0.41,0.25,5.83,0.17,5.17,0.58,0.25,0.0,0.17,0.17,0.25,0.42,5.83
strepitare,0.41,0.21,7.0,0.21,5.17,0.21,0.62,0.0,0.58,0.29,0.67,0.29,4.67
stress,0.04,0.58,6.0,0.12,3.33,0.0,0.08,0.0,0.29,0.58,0.25,0.54,2.5
stretta,0.17,0.21,5.67,0.04,5.0,0.17,0.17,0.0,0.38,0.21,0.17,0.29,4.67
strettamente,0.06,0.12,5.0,0.04,4.33,0.12,0.0,0.0,0.0,0.12,0.0,0.0,4.83
strettezza,0.0,0.04,4.33,0.04,4.17,0.0,0.0,0.0,0.17,0.17,0.0,0.17,4.0
stretto,0.04,0.12,5.33,0.04,4.33,0.04,0.04,0.0,0.21,0.17,0.04,0.12,4.83
stridere,0.11,0.21,5.33,0.17,5.33,0.04,0.17,0.0,0.29,0.33,0.08,0.17,4.17
strillare,0.02,0.12,6.17,0.29,3.17,0.04,0.0,0.0,0.21,0.54,0.12,0.17,2.67
strillo,0.18,0.25,8.5,0.5,5.83,0.04,0.33,0.0,0.83,0.58,0.88,0.25,4.33
stringere,0.08,0.04,6.67,0.0,5.5,0.08,0.08,0.0,0.08,0.17,0.04,0.0,5.17
striscia,0.04,0.21,4.83,0.04,5.17,0.04,0.04,0.0,0.04,0.04,0.12,0.04,5.0
strisciare,0.06,0.04,4.5,0.38,3.5,0.08,0.04,0.0,0.38,0.29,0.08,0.58,3.17
strizza,0.0,0.04,4.5,0.17,5.17,0.0,0.0,0.0,0.33,0.08,0.0,0.04,3.83
strombazzare,0.23,0.29,4.67,0.29,5.33,0.04,0.42,0.0,0.08,0.29,0.54,0.04,5.33
stroncare,0.21,0.67,7.33,0.54,6.0,0.38,0.04,0.0,0.42,0.79,0.12,0.83,3.5
stroncatura,0.0,0.0,5.0,0.21,4.0,0.0,0.0,0.0,0.33,0.38,0.17,0.29,3.33
stronza,0.06,0.04,6.17,0.71,4.83,0.12,0.0,0.0,0.08,0.83,0.17,0.46,3.5
stronzata,0.1,0.29,6.0,0.54,5.17,0.12,0.08,0.0,0.42,0.75,0.29,0.42,3.83
stronzo,0.0,0.0,7.33,0.71,4.83,0.0,0.0,0.0,0.0,0.92,0.04,0.21,2.67
stropicciare,0.02,0.0,5.0,0.12,4.83,0.0,0.04,0.0,0.04,0.21,0.04,0.12,4.33
strumento,0.06,0.04,2.67,0.0,5.33,0.08,0.04,0.0,0.04,0.0,0.08,0.0,5.33
strusciare,0.08,0.04,6.5,0.42,3.0,0.04,0.12,0.0,0.29,0.08,0.38,0.04,3.67
struttura,0.08,0.29,2.67,0.0,5.17,0.08,0.08,0.0,0.17,0.04,0.04,0.0,5.0
strutturale,0.17,0.42,4.33,0.0,4.67,0.17,0.17,0.0,0.12,0.0,0.04,0.04,5.33
studente,0.48,0.58,5.17,0.04,4.67,0.29,0.67,0.0,0.17,0.62,0.04,0.58,5.67
studiare,0.33,0.46,4.67,0.08,5.83,0.33,0.33,0.0,0.17,0.12,0.29,0.17,5.83
studio,0.38,0.79,3.33,0.17,5.83,0.42,0.33,0.0,0.12,0.12,0.29,0.29,6.5
studioso,0.31,0.5,5.17,0.21,4.83,0.33,0.29,0.0,0.21,0.21,0.33,0.46,6.0
stufare,0.02,0.25,5.17,0.58,4.0,0.04,0.0,0.0,0.17,0.83,0.08,0.62,3.83
stupefacente,0.29,0.21,6.33,0.08,4.5,0.17,0.42,0.0,0.17,0.08,0.42,0.21,6.67
stupefatto,0.21,0.29,5.67,0.33,4.67,0.0,0.42,0.0,0.33,0.58,0.92,0.21,5.0
stupendo,0.75,0.75,5.83,0.0,7.5,0.58,0.92,0.0,0.0,0.0,0.92,0.0,7.33
stupidaggine,0.1,0.33,5.83,0.12,5.5,0.21,0.0,0.0,0.29,0.42,0.38,0.58,2.67
stupidità,0.06,0.04,6.67,0.21,5.17,0.08,0.04,0.0,0.58,0.71,0.17,0.42,2.67
stupido,0.27,0.83,5.67,0.42,4.33,0.29,0.25,0.0,0.54,0.67,0.25,0.67,3.33
stupire,0.48,0.75,7.0,0.04,5.67,0.21,0.75,0.0,0.17,0.21,0.83,0.17,6.67
stupirsi,0.43,0.42,3.83,0.42,4.33,0.29,0.58,0.0,0.46,0.46,0.67,0.33,5.17
stupito,0.19,0.5,4.5,0.04,5.33,0.17,0.21,0.0,0.04,0.04,0.92,0.04,5.17
stupore,0.38,0.62,7.17,0.21,5.5,0.33,0.42,0.0,0.42,0.21,1.0,0.21,5.33
stupro,0.0,0.12,7.67,1.0,2.5,0.0,0.0,0.0,0.67,1.0,0.0,0.96,1.0
style,0.27,0.75,4.0,0.17,5.0,0.12,0.42,0.0,0.04,0.0,0.5,0.04,5.83
subire,0.0,0.04,5.0,0.42,3.83,0.0,0.0,0.0,0.29,0.5,0.04,0.42,3.0
subito,0.29,0.83,6.83,0.04,4.17,0.33,0.25,0.0,0.21,0.25,0.21,0.04,4.83
succedere,0.21,0.62,5.17,0.0,5.0,0.17,0.25,0.0,0.42,0.04,0.58,0.17,5.33
successione,0.25,0.21,4.67,0.17,4.33,0.25,0.25,0.0,0.54,0.17,0.12,0.54,4.33
successivamente,0.04,0.58,3.67,0.04,5.0,0.04,0.04,0.0,0.04,0.04,0.08,0.04,5.0
successivo,0.27,0.38,5.83,0.04,5.33,0.29,0.25,0.0,0.21,0.17,0.46,0.04,5.83
successo,0.88,0.71,7.83,0.04,7.17,0.79,0.96,0.0,0.29,0.04,0.54,0.21,8.0
successone,0.83,0.88,7.67,0.04,6.83,0.83,0.83,0.0,0.0,0.04,0.75,0.12,7.83
succhiare,0.41,0.21,6.0,0.46,5.0,0.25,0.58,0.0,0.17,0.17,0.25,0.08,5.5
succhiasangue,0.0,0.0,5.0,0.83,2.67,0.0,0.0,0.0,0.71,0.71,0.04,0.17,2.0
succo,0.17,0.17,5.17,0.21,4.5,0.0,0.33,0.0,0.17,0.0,0.04,0.0,5.5
succulento,0.41,0.62,6.17,0.17,4.83,0.12,0.71,0.0,0.04,0.0,0.17,0.0,7.83
sud,0.39,0.38,5.0,0.08,5.33,0.21,0.58,0.0,0.21,0.33,0.42,0.29,6.0
sudare,0.0,0.0,6.17,0.42,3.83,0.0,0.0,0.0,0.04,0.29,0.0,0.12,3.33
sudato,0.12,0.21,5.5,0.71,3.67,0.08,0.17,0.0,0.42,0.0,0.17,0.04,3.67
suddito,0.09,0.17,4.83,0.17,4.67,0.17,0.0,0.0,0.04,0.21,0.0,0.29,3.33
suddividere,0.19,0.17,5.33,0.04,4.5,0.17,0.21,0.0,0.21,0.17,0.04,0.17,5.0
sudore,0.11,0.17,6.0,0.71,5.17,0.04,0.17,0.0,0.42,0.42,0.04,0.0,4.67
sufficiente,0.28,0.29,4.83,0.04,5.0,0.17,0.38,0.0,0.08,0.17,0.17,0.21,5.17
suggellare,0.6,0.62,5.0,0.04,5.17,0.75,0.46,0.0,0.08,0.17,0.08,0.08,5.17
suggerimento,0.42,0.71,5.83,0.0,5.17,0.54,0.29,0.0,0.08,0.08,0.38,0.0,6.17
suggerire,0.12,0.29,5.67,0.17,4.67,0.21,0.04,0.0,0.0,0.17,0.17,0.0,4.33
suggestivo,0.52,0.75,5.67,0.0,5.5,0.29,0.75,0.0,0.0,0.0,0.79,0.17,6.83
sughero,0.06,0.04,4.67,0.0,5.17,0.04,0.08,0.0,0.0,0.0,0.04,0.0,5.33
sugo,0.2,0.17,5.33,0.0,5.67,0.12,0.29,0.0,0.0,0.0,0.12,0.04,5.67
suicidio,0.0,0.04,6.67,0.0,2.33,0.0,0.0,0.0,0.75,0.83,0.29,1.0,1.17
suolo,0.08,0.17,4.33,0.04,4.17,0.08,0.08,0.0,0.04,0.04,0.04,0.04,5.5
suonare,0.5,0.17,6.17,0.0,5.33,0.17,0.83,0.0,0.04,0.12,0.42,0.08,6.17
suono,0.62,0.25,5.83,0.04,6.83,0.33,0.92,0.0,0.42,0.21,0.67,0.21,6.83
suora,0.42,0.21,4.0,0.0,5.0,0.67,0.17,0.0,0.04,0.04,0.0,0.12,5.5
super,0.96,0.83,7.83,0.21,8.17,0.96,0.96,0.0,0.17,0.21,0.75,0.12,8.33
superare,0.73,0.79,5.5,0.04,6.17,0.75,0.71,0.0,0.54,0.04,0.54,0.25,6.67
superbia,0.04,0.12,6.0,0.67,5.0,0.04,0.04,0.0,0.17,0.42,0.17,0.21,3.17
superficiale,0.11,0.12,3.83,0.42,5.33,0.17,0.04,0.0,0.25,0.54,0.04,0.71,2.17
superficie,0.19,0.17,5.0,0.04,5.5,0.21,0.17,0.0,0.04,0.08,0.12,0.17,5.17
superiore,0.31,0.54,5.0,0.17,4.83,0.5,0.12,0.0,0.25,0.17,0.17,0.08,5.0
supermercato,0.23,0.21,4.5,0.0,4.83,0.29,0.17,0.0,0.0,0.0,0.17,0.04,4.5
superpoteri,0.75,0.79,7.33,0.17,7.17,0.79,0.71,0.0,0.62,0.21,0.83,0.17,7.67
superstizioso,0.1,0.08,4.17,0.12,5.17,0.21,0.0,0.0,0.42,0.17,0.08,0.04,4.17
supplente,0.17,0.42,3.67,0.0,4.83,0.17,0.17,0.0,0.12,0.12,0.25,0.12,7.33
supplicare,0.1,0.17,4.33,0.46,3.5,0.08,0.12,0.0,0.58,0.33,0.25,0.79,2.5
supplizio,0.04,0.0,6.33,0.58,4.5,0.04,0.04,0.0,0.75,0.83,0.04,0.83,2.17
supponenza,0.0,0.0,5.83,0.17,5.0,0.0,0.0,0.0,0.25,0.17,0.0,0.04,4.5
supporre,0.33,0.62,4.0,0.0,5.0,0.62,0.04,0.0,0.17,0.0,0.29,0.0,4.83
supportare,0.6,0.46,5.67,0.0,5.83,0.71,0.5,0.0,0.0,0.0,0.54,0.04,6.17
supporto,0.77,0.33,4.5,0.0,6.0,0.83,0.71,0.0,0.0,0.0,0.0,0.21,8.0
supposizione,0.12,0.58,5.33,0.21,6.0,0.08,0.17,0.0,0.08,0.21,0.21,0.08,4.67
supposto,0.06,0.46,4.33,0.0,3.83,0.08,0.04,0.0,0.04,0.0,0.08,0.04,4.5
supremo,0.5,0.38,6.17,0.12,4.83,0.42,0.58,0.0,0.33,0.17,0.08,0.04,5.17
surrogato,0.02,0.0,4.67,0.29,4.67,0.04,0.0,0.0,0.04,0.04,0.04,0.25,4.17
suscettibile,0.27,0.5,4.67,0.21,4.17,0.46,0.08,0.0,0.67,0.46,0.12,0.29,3.5
suscitare,0.44,0.54,5.83,0.29,5.17,0.33,0.54,0.0,0.54,0.33,0.62,0.33,5.17
suspense,0.33,0.58,7.17,0.17,5.0,0.42,0.25,0.0,0.79,0.21,0.79,0.29,5.17
sussulto,0.04,0.04,6.33,0.08,4.17,0.0,0.08,0.0,0.58,0.17,0.83,0.08,5.17
sussurrare,0.23,0.29,3.83,0.0,3.33,0.17,0.29,0.0,0.46,0.04,0.17,0.04,5.5
svanire,0.17,0.17,4.17,0.04,4.17,0.17,0.17,0.0,0.46,0.17,0.38,0.46,3.67
svegliare,0.17,0.29,5.0,0.04,4.5,0.17,0.17,0.0,0.04,0.21,0.21,0.17,5.33
sveglio,0.12,0.21,5.33,0.0,4.83,0.17,0.08,0.0,0.04,0.0,0.21,0.04,5.67
svelare,0.54,0.75,5.67,0.17,6.0,0.54,0.54,0.0,0.5,0.17,0.83,0.21,6.5
svenire,0.02,0.04,6.83,0.21,2.5,0.04,0.0,0.0,0.92,0.12,0.79,0.33,2.17
sventura,0.02,0.17,5.67,0.08,3.17,0.04,0.0,0.0,0.71,0.38,0.17,0.67,2.0
svilire,0.04,0.0,5.83,0.75,4.0,0.08,0.0,0.0,0.29,0.83,0.04,0.71,2.67
sviluppare,0.56,0.54,5.33,0.04,6.33,0.62,0.5,0.0,0.08,0.08,0.25,0.08,6.0
sviluppato,0.23,0.29,5.33,0.0,5.5,0.17,0.29,0.0,0.04,0.04,0.04,0.08,5.83
sviluppo,0.55,0.92,7.17,0.04,5.67,0.42,0.67,0.0,0.42,0.08,0.67,0.04,5.5
sviscerare,0.12,0.54,6.5,0.17,5.83,0.17,0.08,0.0,0.12,0.12,0.21,0.12,5.0
svizzero,0.14,0.21,4.83,0.04,4.83,0.25,0.04,0.0,0.0,0.0,0.04,0.17,4.67
svolgere,0.25,0.67,5.67,0.04,5.17,0.33,0.17,0.0,0.08,0.04,0.21,0.08,5.67
svolta,0.79,0.83,7.33,0.12,7.33,0.79,0.79,0.0,0.33,0.17,0.92,0.17,7.33
svuotare,0.12,0.29,4.33,0.12,6.5,0.04,0.21,0.0,0.12,0.25,0.04,0.67,5.0
sì,0.81,0.54,6.0,0.0,5.0,0.83,0.79,0.0,0.17,0.17,0.08,0.29,6.33
tabella,0.17,0.25,4.67,0.04,5.67,0.17,0.17,0.0,0.08,0.08,0.12,0.17,4.5
tacco,0.23,0.46,4.83,0.04,4.17,0.08,0.38,0.0,0.25,0.25,0.46,0.29,5.33
tacere,0.02,0.04,5.0,0.21,4.0,0.04,0.0,0.0,0.62,0.67,0.08,0.58,4.17
tacitare,0.31,0.5,4.33,0.08,5.33,0.5,0.12,0.0,0.08,0.08,0.0,0.08,4.5
taciturno,0.0,0.25,4.17,0.04,5.33,0.0,0.0,0.0,0.42,0.29,0.04,0.54,4.5
tafferuglio,0.06,0.25,5.83,0.0,5.83,0.0,0.12,0.0,0.21,0.46,0.25,0.08,4.33
taglia,0.11,0.25,5.17,0.04,5.17,0.04,0.17,0.0,0.17,0.12,0.25,0.12,5.0
tagliare,0.12,0.17,7.0,0.0,4.17,0.12,0.12,0.0,0.08,0.21,0.12,0.29,4.5
tagliato,0.09,0.17,6.83,0.12,4.0,0.17,0.0,0.0,0.33,0.17,0.04,0.21,4.33
tagliere,0.21,0.42,3.33,0.04,6.17,0.0,0.42,0.0,0.0,0.0,0.17,0.0,6.0
taglio,0.02,0.0,5.5,0.29,4.83,0.0,0.04,0.0,0.67,0.67,0.25,0.58,4.0
talento,0.69,0.75,4.5,0.0,7.5,0.67,0.71,0.0,0.04,0.0,0.33,0.04,8.0
talvolta,0.11,0.08,4.5,0.0,5.0,0.04,0.17,0.0,0.17,0.12,0.04,0.29,4.83
tamponare,0.04,0.0,6.5,0.04,4.5,0.04,0.04,0.0,0.38,0.67,0.67,0.54,3.83
tampone,0.04,0.08,5.67,0.33,3.5,0.08,0.0,0.0,0.71,0.46,0.04,0.67,3.0
tangente,0.02,0.17,6.17,0.42,4.0,0.04,0.0,0.0,0.12,0.46,0.25,0.33,3.17
tanto,0.31,0.33,4.33,0.17,5.17,0.29,0.33,0.0,0.33,0.29,0.33,0.17,6.17
tappa,0.44,0.38,4.67,0.0,4.67,0.38,0.5,0.0,0.12,0.17,0.0,0.12,4.33
tappare,0.06,0.17,3.17,0.04,4.83,0.12,0.0,0.0,0.08,0.04,0.04,0.04,4.83
tappeto,0.0,0.0,4.67,0.04,5.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,5.17
tardi,0.04,0.29,7.33,0.21,2.67,0.04,0.04,0.0,0.58,0.62,0.38,0.67,3.0
tardità,0.06,0.17,5.0,0.17,3.33,0.12,0.0,0.0,0.25,0.29,0.21,0.21,3.17
tardività,0.02,0.08,5.33,0.17,4.67,0.04,0.0,0.0,0.08,0.33,0.25,0.33,2.83
tardo,0.25,0.67,6.17,0.54,5.5,0.33,0.17,0.0,0.67,0.71,0.21,0.29,5.67
targa,0.08,0.08,5.17,0.0,4.83,0.04,0.12,0.0,0.04,0.04,0.0,0.12,4.83
tariffa,0.02,0.04,5.0,0.29,4.33,0.04,0.0,0.0,0.29,0.33,0.12,0.58,4.0
tariffazione,0.02,0.21,4.0,0.08,4.5,0.04,0.0,0.0,0.29,0.08,0.08,0.08,4.83
tarocco,0.15,0.29,4.67,0.29,5.17,0.12,0.17,0.0,0.29,0.67,0.33,0.29,4.0
tartaro,0.0,0.04,3.83,0.67,5.67,0.0,0.0,0.0,0.17,0.46,0.08,0.21,4.33
tasca,0.04,0.25,3.83,0.0,5.83,0.04,0.04,0.0,0.0,0.0,0.21,0.0,5.0
tassa,0.1,0.58,5.33,0.17,4.0,0.21,0.0,0.0,0.33,0.42,0.42,0.29,3.67
tasso,0.02,0.08,5.33,0.04,3.83,0.04,0.0,0.0,0.12,0.17,0.08,0.08,3.83
tastiera,0.23,0.21,3.33,0.04,6.17,0.17,0.29,0.0,0.12,0.04,0.17,0.12,6.33
tasto,0.02,0.04,2.33,0.0,3.83,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0
tata,0.62,0.62,4.83,0.0,5.33,0.71,0.54,0.0,0.04,0.04,0.25,0.08,6.17
tatuaggio,0.17,0.58,3.83,0.12,5.17,0.17,0.17,0.0,0.17,0.0,0.54,0.04,5.0
tavola,0.36,0.67,4.0,0.17,5.33,0.17,0.54,0.0,0.04,0.08,0.17,0.08,5.83
tavolino,0.04,0.0,4.0,0.0,5.17,0.0,0.08,0.0,0.0,0.0,0.04,0.0,5.17
tavolo,0.19,0.29,5.83,0.0,4.83,0.17,0.21,0.0,0.0,0.04,0.29,0.0,6.67
taxi,0.14,0.08,5.17,0.17,4.5,0.25,0.04,0.0,0.04,0.17,0.0,0.17,4.33
tazza,0.16,0.0,5.0,0.04,5.0,0.04,0.29,0.0,0.0,0.0,0.04,0.04,5.0
team,0.65,0.62,7.17,0.04,6.33,0.79,0.5,0.0,0.04,0.08,0.17,0.04,6.67
